region_id,name,kind,type,year,quarter,download_mbps,upload_mbps,latency_ms,tile_median_download_mbps,tests,devices,tiles
D-hajigabul,Hajigabul,district,fixed,2023,3,30.131,24.991,14.8,28.502,1075.0,321.0,117
D-imishli,Imishli,district,fixed,2023,3,36.128,37.986,19.32,20.116,1078.0,336.0,148
D-ismailli,Ismailli,district,fixed,2023,3,22.28,16.901,45.98,4.478,786.0,299.0,156
D-jabrayil,Jabrayil,district,fixed,2023,3,36.494,37.567,23.33,40.874,3.0,3.0,3
D-jalilabad,Jalilabad,district,fixed,2023,3,30.214,25.621,18.05,24.179,1258.0,442.0,195
D-julfa,Julfa,district,fixed,2023,3,5.716,4.451,45.44,1.607,57.0,31.0,21
D-kalbajar,Kalbajar,district,fixed,2023,3,5.503,23.168,19.0,6.052,10.0,5.0,2
D-kangarli,Kangarli,district,fixed,2023,3,5.683,0.807,72.24,1.758,41.0,25.0,18
D-khachmaz,Khachmaz,district,fixed,2023,3,19.013,22.403,25.16,17.92,2843.0,1022.0,410
D-khizi,Khizi,district,fixed,2023,3,29.272,19.775,23.13,18.431,397.0,130.0,81
D-khojaly,Khojaly,district,fixed,2023,3,26.353,28.049,8.61,19.049,18.0,5.0,4
D-khojavend,Khojavend,district,fixed,2023,3,20.627,42.554,10.0,20.627,1.0,1.0,1
D-kurdamir,Kurdamir,district,fixed,2023,3,18.896,21.782,25.31,13.142,542.0,178.0,100
D-lachin,Lachin,district,fixed,2023,3,36.358,23.677,36.94,40.048,17.0,10.0,6
D-lankaran,Lankaran,district,fixed,2023,3,26.588,27.568,29.09,4.395,1612.0,544.0,241
D-lerik,Lerik,district,fixed,2023,3,2.778,2.082,58.84,2.446,252.0,104.0,74
D-masally,Masally,district,fixed,2023,3,26.442,22.234,28.79,16.541,1744.0,631.0,303
D-neftchala,Neftchala,district,fixed,2023,3,17.416,17.336,26.22,3.104,784.0,253.0,112
D-oghuz,Oghuz,district,fixed,2023,3,33.707,18.542,33.67,18.094,304.0,136.0,80
D-ordubad,Ordubad,district,fixed,2023,3,1.791,0.396,73.64,1.638,171.0,83.0,52
D-qabala,Qabala,district,fixed,2023,3,24.455,20.558,28.12,7.566,1738.0,784.0,257
D-qakh,Qakh,district,fixed,2023,3,22.507,11.673,45.39,3.458,397.0,185.0,91
D-qazakh,Qazakh,district,fixed,2023,3,27.568,31.006,34.56,20.763,860.0,255.0,141
D-quba,Quba,district,fixed,2023,3,26.521,26.523,22.01,15.278,2510.0,1006.0,360
D-qubadli,Qubadli,district,fixed,2023,3,41.209,42.199,48.2,39.8,15.0,5.0,4
D-qusar,Qusar,district,fixed,2023,3,15.129,15.975,35.07,4.57,1555.0,653.0,285
D-saatly,Saatly,district,fixed,2023,3,18.412,19.916,28.71,10.811,479.0,188.0,97
D-sabirabad,Sabirabad,district,fixed,2023,3,20.205,18.491,22.17,18.461,906.0,341.0,212
D-sadarak,Sadarak,district,fixed,2023,3,1.983,0.456,87.18,1.754,60.0,19.0,17
D-salyan,Salyan,district,fixed,2023,3,17.552,17.599,25.55,15.801,1210.0,326.0,144
D-samukh,Samukh,district,fixed,2023,3,24.334,22.889,31.98,17.994,860.0,210.0,111
D-shabran,Shabran,district,fixed,2023,3,33.453,39.496,15.73,15.267,626.0,196.0,87
D-shahbuz,Shahbuz,district,fixed,2023,3,1.075,0.798,102.27,0.826,51.0,13.0,9
D-shaki,Shaki,district,fixed,2023,3,63.155,54.789,21.35,18.746,991.0,399.0,165
D-shamakhi,Shamakhi,district,fixed,2023,3,36.835,25.276,24.68,26.65,839.0,339.0,148
D-shamkir,Shamkir,district,fixed,2023,3,20.77,21.924,23.19,18.428,1946.0,802.0,376
D-sharur,Sharur,district,fixed,2023,3,1.889,0.432,69.27,1.588,292.0,111.0,84
D-siazan,Siazan,district,fixed,2023,3,13.87,12.148,40.82,10.382,328.0,99.0,50
D-tartar,Tartar,district,fixed,2023,3,38.406,33.537,15.8,20.948,767.0,150.0,78
D-tovuz,Tovuz,district,fixed,2023,3,26.338,23.129,53.56,24.804,1006.0,405.0,199
D-ujar,Ujar,district,fixed,2023,3,9.416,9.377,40.21,4.296,206.0,87.0,64
D-yardymli,Yardymli,district,fixed,2023,3,30.248,31.625,25.91,18.978,162.0,64.0,46
D-yevlakh,Yevlakh,district,fixed,2023,3,23.471,22.766,22.09,22.55,414.0,173.0,87
D-zangilan,Zangilan,district,fixed,2023,3,38.454,29.128,13.95,34.019,43.0,20.0,11
D-zaqatala,Zaqatala,district,fixed,2023,3,25.444,14.281,38.37,3.395,315.0,159.0,119
D-zardab,Zardab,district,fixed,2023,3,23.616,18.515,34.38,7.946,86.0,41.0,32
C-baku,Baku,city,fixed,2023,4,40.446,40.933,8.29,34.955,147285.0,47366.0,3153
C-ganja,Ganja,city,fixed,2023,4,30.783,30.874,19.24,26.063,4513.0,1497.0,154
C-lankaran,Lankaran,city,fixed,2023,4,28.661,26.063,17.52,28.318,1332.0,369.0,63
C-mingachevir,Mingachevir,city,fixed,2023,4,28.266,34.988,13.37,28.329,1610.0,484.0,75
C-nakhchivan,Nakhchivan,city,fixed,2023,4,23.307,24.27,3.99,15.346,622.0,250.0,46
C-shaki,Shaki,city,fixed,2023,4,81.064,71.165,15.69,55.558,1186.0,399.0,50
C-shirvan,Shirvan,city,fixed,2023,4,39.883,34.644,21.46,37.615,1844.0,320.0,33
C-sumqayit,Sumqayit,city,fixed,2023,4,36.671,32.337,8.04,34.781,8404.0,2763.0,220
C-yevlakh,Yevlakh,city,fixed,2023,4,43.023,38.049,12.15,37.99,628.0,170.0,40
D-absheron,Absheron,district,fixed,2023,4,40.576,36.422,7.88,37.228,15242.0,4871.0,482
D-agdam,Agdam,district,fixed,2023,4,21.065,33.36,22.04,15.06,548.0,137.0,89
D-agdash,Agdash,district,fixed,2023,4,24.112,25.464,16.6,22.564,1098.0,290.0,118
D-aghjabadi,Aghjabadi,district,fixed,2023,4,14.076,19.994,28.84,7.819,313.0,133.0,101
D-agstafa,Agstafa,district,fixed,2023,4,22.174,19.159,28.67,17.864,1013.0,327.0,142
D-agsu,Agsu,district,fixed,2023,4,42.924,28.551,16.43,20.844,1325.0,357.0,119
D-astara,Astara,district,fixed,2023,4,17.765,17.911,32.26,7.576,1287.0,374.0,150
D-babek,Babek,district,fixed,2023,4,38.537,48.623,31.89,37.714,9.0,6.0,5
D-balakan,Balakan,district,fixed,2023,4,52.822,39.023,21.06,32.776,1029.0,362.0,141
D-barda,Barda,district,fixed,2023,4,42.494,28.302,24.63,19.872,1246.0,379.0,169
D-beylagan,Beylagan,district,fixed,2023,4,23.451,17.275,27.56,4.178,605.0,191.0,94
D-bilasuvar,Bilasuvar,district,fixed,2023,4,27.302,20.633,25.31,9.233,513.0,216.0,114
D-dashkasan,Dashkasan,district,fixed,2023,4,44.432,18.15,37.55,9.246,22.0,13.0,10
D-fuzuli,Fuzuli,district,fixed,2023,4,30.974,34.479,21.0,30.675,305.0,104.0,69
D-gadabay,Gadabay,district,fixed,2023,4,29.773,30.501,58.24,4.08,240.0,67.0,52
D-gobustan,Gobustan,district,fixed,2023,4,50.523,33.375,19.48,8.528,334.0,90.0,44
D-goranboy,Goranboy,district,fixed,2023,4,30.309,26.614,20.36,5.768,864.0,264.0,129
D-goychay,Goychay,district,fixed,2023,4,32.797,44.889,26.17,19.543,1970.0,454.0,168
D-goygol,Goygol,district,fixed,2023,4,23.279,22.624,23.49,19.065,2286.0,780.0,277
D-hajigabul,Hajigabul,district,fixed,2023,4,44.216,34.578,14.4,29.917,999.0,305.0,107
D-imishli,Imishli,district,fixed,2023,4,45.288,36.13,18.74,21.552,2081.0,557.0,172
D-ismailli,Ismailli,district,fixed,2023,4,33.455,18.935,29.62,26.465,648.0,213.0,123
D-jabrayil,Jabrayil,district,fixed,2023,4,17.087,15.775,55.44,9.461,9.0,5.0,5
D-jalilabad,Jalilabad,district,fixed,2023,4,30.066,29.049,21.21,20.98,1173.0,390.0,186
D-kalbajar,Kalbajar,district,fixed,2023,4,13.72,26.088,35.67,17.514,6.0,5.0,3
D-kangarli,Kangarli,district,fixed,2023,4,13.307,3.694,90.91,16.706,11.0,4.0,4
D-khachmaz,Khachmaz,district,fixed,2023,4,21.714,24.318,25.03,17.7,3462.0,961.0,380
D-khizi,Khizi,district,fixed,2023,4,47.668,26.665,21.19,36.224,575.0,145.0,75
D-khojaly,Khojaly,district,fixed,2023,4,107.546,80.122,11.59,80.314,41.0,9.0,6
D-khojavend,Khojavend,district,fixed,2023,4,23.594,43.461,10.5,24.406,4.0,2.0,2
D-kurdamir,Kurdamir,district,fixed,2023,4,31.371,30.081,22.48,26.464,912.0,264.0,123
D-lachin,Lachin,district,fixed,2023,4,46.124,40.895,43.57,46.548,21.0,9.0,6
D-lankaran,Lankaran,district,fixed,2023,4,27.667,27.169,29.37,16.099,1700.0,543.0,252
D-lerik,Lerik,district,fixed,2023,4,3.456,1.062,53.58,3.31,160.0,53.0,43
D-masally,Masally,district,fixed,2023,4,27.444,29.292,21.8,23.891,2203.0,700.0,323
D-neftchala,Neftchala,district,fixed,2023,4,19.804,16.665,29.5,4.015,534.0,196.0,97
D-oghuz,Oghuz,district,fixed,2023,4,40.38,35.584,17.55,30.784,317.0,154.0,74
D-qabala,Qabala,district,fixed,2023,4,36.645,21.907,19.53,19.127,2026.0,697.0,287
D-qakh,Qakh,district,fixed,2023,4,9.571,8.406,49.55,3.292,177.0,74.0,55
D-qazakh,Qazakh,district,fixed,2023,4,23.437,24.823,34.81,19.709,1287.0,288.0,147
D-quba,Quba,district,fixed,2023,4,32.224,28.157,19.77,19.987,2705.0,990.0,366
D-qubadli,Qubadli,district,fixed,2023,4,30.163,39.582,18.5,30.163,8.0,4.0,2
D-qusar,Qusar,district,fixed,2023,4,31.195,24.727,35.12,11.11,1768.0,651.0,254
D-saatly,Saatly,district,fixed,2023,4,27.358,24.731,23.35,18.291,618.0,201.0,110
D-sabirabad,Sabirabad,district,fixed,2023,4,24.362,21.639,22.86,26.539,1094.0,348.0,245
D-salyan,Salyan,district,fixed,2023,4,33.007,24.821,23.51,22.359,1216.0,317.0,145
D-samukh,Samukh,district,fixed,2023,4,30.602,28.87,26.31,22.737,1704.0,327.0,139
D-shabran,Shabran,district,fixed,2023,4,56.783,46.336,15.24,20.65,592.0,204.0,94
D-shaki,Shaki,district,fixed,2023,4,55.595,48.759,18.67,31.775,963.0,365.0,179
D-shamakhi,Shamakhi,district,fixed,2023,4,36.295,28.617,16.95,21.047,785.0,302.0,144
D-shamkir,Shamkir,district,fixed,2023,4,21.789,22.206,30.08,16.478,2703.0,793.0,385
D-siazan,Siazan,district,fixed,2023,4,27.723,24.348,26.15,26.931,471.0,140.0,57
D-tartar,Tartar,district,fixed,2023,4,34.309,31.89,32.33,18.81,644.0,139.0,79
D-tovuz,Tovuz,district,fixed,2023,4,33.71,25.15,39.35,27.374,811.0,325.0,169
D-ujar,Ujar,district,fixed,2023,4,23.121,15.372,28.05,3.847,318.0,105.0,75
D-yardymli,Yardymli,district,fixed,2023,4,28.593,30.092,13.41,18.982,205.0,51.0,32
D-yevlakh,Yevlakh,district,fixed,2023,4,37.257,34.829,13.75,30.371,538.0,191.0,107
D-zangilan,Zangilan,district,fixed,2023,4,31.45,37.29,13.06,26.596,97.0,17.0,10
D-zaqatala,Zaqatala,district,fixed,2023,4,47.361,45.157,40.39,25.74,682.0,235.0,156
D-zardab,Zardab,district,fixed,2023,4,17.665,15.359,43.95,4.718,96.0,54.0,42
C-baku,Baku,city,fixed,2024,1,45.944,45.054,7.82,39.549,168890.0,50935.0,3154
C-ganja,Ganja,city,fixed,2024,1,44.511,43.216,16.09,34.567,6048.0,1941.0,158
C-lankaran,Lankaran,city,fixed,2024,1,33.237,27.992,18.89,32.53,1241.0,377.0,62
C-mingachevir,Mingachevir,city,fixed,2024,1,38.626,43.629,14.49,34.876,2382.0,633.0,82
C-nakhchivan,Nakhchivan,city,fixed,2024,1,16.985,17.354,6.52,14.904,677.0,306.0,52
C-shaki,Shaki,city,fixed,2024,1,73.708,70.204,22.82,56.479,706.0,256.0,49
C-shirvan,Shirvan,city,fixed,2024,1,51.083,36.86,11.67,36.344,1460.0,303.0,39
C-sumqayit,Sumqayit,city,fixed,2024,1,46.063,40.107,7.37,40.082,10684.0,3222.0,228
C-yevlakh,Yevlakh,city,fixed,2024,1,67.282,67.297,20.13,45.758,598.0,170.0,48
D-absheron,Absheron,district,fixed,2024,1,49.225,42.384,7.23,40.807,18176.0,5420.0,497
D-agdam,Agdam,district,fixed,2024,1,24.19,33.216,17.22,25.781,650.0,223.0,137
D-agdash,Agdash,district,fixed,2024,1,31.387,33.039,17.22,25.93,1652.0,371.0,144
D-aghjabadi,Aghjabadi,district,fixed,2024,1,26.078,36.893,27.87,19.831,588.0,240.0,166
D-agstafa,Agstafa,district,fixed,2024,1,25.453,20.12,27.34,24.926,1713.0,453.0,179
D-agsu,Agsu,district,fixed,2024,1,65.027,46.384,12.81,33.278,1459.0,382.0,131
D-astara,Astara,district,fixed,2024,1,25.186,26.383,28.18,19.601,1705.0,467.0,177
D-babek,Babek,district,fixed,2024,1,17.943,19.525,10.7,13.168,23.0,9.0,5
D-balakan,Balakan,district,fixed,2024,1,78.119,60.094,15.62,60.486,1728.0,605.0,282
D-barda,Barda,district,fixed,2024,1,63.764,48.595,17.6,39.42,1955.0,517.0,236
D-beylagan,Beylagan,district,fixed,2024,1,33.144,30.58,28.89,6.117,874.0,274.0,137
D-bilasuvar,Bilasuvar,district,fixed,2024,1,39.02,31.913,16.47,23.207,885.0,321.0,158
D-dashkasan,Dashkasan,district,fixed,2024,1,26.737,25.203,58.1,17.502,63.0,23.0,11
D-fuzuli,Fuzuli,district,fixed,2024,1,46.107,47.912,24.47,37.762,389.0,125.0,78
D-gadabay,Gadabay,district,fixed,2024,1,60.013,48.234,28.98,31.03,388.0,125.0,75
D-gobustan,Gobustan,district,fixed,2024,1,61.343,38.109,15.77,31.03,347.0,118.0,60
D-goranboy,Goranboy,district,fixed,2024,1,55.54,51.6,23.89,18.114,976.0,313.0,174
D-goychay,Goychay,district,fixed,2024,1,28.671,46.173,27.99,23.233,2158.0,543.0,202
D-goygol,Goygol,district,fixed,2024,1,40.219,38.98,19.63,22.618,3047.0,1097.0,310
D-hajigabul,Hajigabul,district,fixed,2024,1,57.445,40.988,16.45,35.585,1191.0,413.0,159
D-imishli,Imishli,district,fixed,2024,1,55.743,46.326,15.57,24.299,1915.0,617.0,195
D-ismailli,Ismailli,district,fixed,2024,1,38.352,27.896,29.39,37.818,1100.0,297.0,145
D-jabrayil,Jabrayil,district,fixed,2024,1,18.174,40.664,12.0,16.343,6.0,4.0,2
D-jalilabad,Jalilabad,district,fixed,2024,1,61.181,49.126,19.17,31.011,1761.0,512.0,235
D-julfa,Julfa,district,fixed,2024,1,41.939,80.439,8.0,41.939,1.0,1.0,1
D-kalbajar,Kalbajar,district,fixed,2024,1,107.674,142.467,10.0,107.674,2.0,2.0,2
D-kangarli,Kangarli,district,fixed,2024,1,9.803,1.961,77.34,8.78,29.0,9.0,5
D-khachmaz,Khachmaz,district,fixed,2024,1,33.468,32.739,22.16,20.012,4787.0,1432.0,462
D-khizi,Khizi,district,fixed,2024,1,76.927,61.885,12.14,40.289,559.0,161.0,84
D-khojaly,Khojaly,district,fixed,2024,1,62.733,61.307,12.0,62.733,2.0,2.0,1
D-khojavend,Khojavend,district,fixed,2024,1,15.455,22.709,9.0,14.074,3.0,3.0,2
D-kurdamir,Kurdamir,district,fixed,2024,1,25.445,29.959,15.37,26.9,1043.0,327.0,158
D-lachin,Lachin,district,fixed,2024,1,53.979,58.601,36.17,47.582,23.0,13.0,8
D-lankaran,Lankaran,district,fixed,2024,1,48.049,38.73,18.75,29.457,3178.0,905.0,344
D-lerik,Lerik,district,fixed,2024,1,4.694,1.927,51.78,3.384,116.0,53.0,44
D-masally,Masally,district,fixed,2024,1,47.281,40.289,20.51,30.302,3105.0,925.0,402
D-neftchala,Neftchala,district,fixed,2024,1,28.499,24.607,24.12,20.158,960.0,365.0,149
D-oghuz,Oghuz,district,fixed,2024,1,110.322,97.332,15.49,77.41,544.0,191.0,112
D-qabala,Qabala,district,fixed,2024,1,75.739,35.15,16.3,34.298,2204.0,731.0,279
D-qakh,Qakh,district,fixed,2024,1,63.237,52.1,34.56,12.806,167.0,90.0,74
D-qazakh,Qazakh,district,fixed,2024,1,26.777,25.858,27.78,28.486,1250.0,317.0,170
D-quba,Quba,district,fixed,2024,1,48.311,40.345,19.02,25.223,4050.0,1219.0,377
D-qubadli,Qubadli,district,fixed,2024,1,8.994,17.42,24.17,3.634,6.0,5.0,3
D-qusar,Qusar,district,fixed,2024,1,60.409,44.248,20.74,15.488,2672.0,912.0,334
D-saatly,Saatly,district,fixed,2024,1,53.047,42.49,19.36,25.864,1421.0,325.0,149
D-sabirabad,Sabirabad,district,fixed,2024,1,32.222,26.327,20.21,25.994,1396.0,444.0,275
D-salyan,Salyan,district,fixed,2024,1,43.908,34.448,19.66,30.67,2188.0,477.0,204
D-samukh,Samukh,district,fixed,2024,1,30.647,29.701,47.36,27.136,2567.0,481.0,199
D-shabran,Shabran,district,fixed,2024,1,64.649,53.058,16.5,24.628,503.0,226.0,95
D-shaki,Shaki,district,fixed,2024,1,89.87,85.594,17.17,49.587,1211.0,399.0,217
D-shamakhi,Shamakhi,district,fixed,2024,1,67.509,39.168,21.07,30.018,850.0,283.0,128
D-shamkir,Shamkir,district,fixed,2024,1,25.462,21.374,53.52,19.746,2488.0,683.0,352
D-sharur,Sharur,district,fixed,2024,1,29.348,4.076,35.0,29.348,2.0,2.0,2
D-siazan,Siazan,district,fixed,2024,1,57.567,47.825,14.29,33.531,620.0,171.0,66
D-tartar,Tartar,district,fixed,2024,1,36.679,32.36,59.55,20.512,620.0,184.0,106
D-tovuz,Tovuz,district,fixed,2024,1,49.589,44.919,37.45,28.75,965.0,355.0,201
D-ujar,Ujar,district,fixed,2024,1,77.182,55.429,26.68,21.734,478.0,168.0,98
D-yardymli,Yardymli,district,fixed,2024,1,22.134,20.98,46.77,16.888,179.0,56.0,38
D-yevlakh,Yevlakh,district,fixed,2024,1,55.951,52.548,13.01,37.536,690.0,283.0,143
D-zangilan,Zangilan,district,fixed,2024,1,37.326,38.869,9.95,24.838,73.0,25.0,16
D-zaqatala,Zaqatala,district,fixed,2024,1,108.372,98.235,24.81,52.58,935.0,357.0,223
D-zardab,Zardab,district,fixed,2024,1,47.603,33.854,27.81,32.211,167.0,83.0,45
C-baku,Baku,city,fixed,2024,2,50.805,48.177,7.01,41.949,121161.0,42564.0,3129
C-ganja,Ganja,city,fixed,2024,2,46.605,40.74,15.06,36.522,4307.0,1523.0,156
C-lankaran,Lankaran,city,fixed,2024,2,40.709,34.06,14.11,37.433,990.0,323.0,63
C-mingachevir,Mingachevir,city,fixed,2024,2,41.422,42.425,11.01,36.452,1557.0,573.0,71
C-nakhchivan,Nakhchivan,city,fixed,2024,2,16.479,16.656,5.17,14.212,646.0,275.0,66
C-shaki,Shaki,city,fixed,2024,2,78.781,59.906,15.38,61.766,432.0,200.0,47
C-shirvan,Shirvan,city,fixed,2024,2,30.267,33.51,8.12,30.068,952.0,261.0,38
C-sumqayit,Sumqayit,city,fixed,2024,2,46.909,42.455,6.4,42.547,8141.0,2604.0,224
C-yevlakh,Yevlakh,city,fixed,2024,2,60.301,50.786,11.85,45.408,210.0,103.0,38
D-absheron,Absheron,district,fixed,2024,2,61.282,49.291,7.53,47.561,13627.0,4302.0,477
D-agdam,Agdam,district,fixed,2024,2,32.511,33.705,16.69,35.588,380.0,142.0,97
D-agdash,Agdash,district,fixed,2024,2,28.095,32.668,14.79,27.792,838.0,351.0,166
D-aghjabadi,Aghjabadi,district,fixed,2024,2,26.516,33.837,20.93,26.677,520.0,217.0,151
D-agstafa,Agstafa,district,fixed,2024,2,32.672,23.178,22.6,34.558,903.0,394.0,198
D-agsu,Agsu,district,fixed,2024,2,67.692,52.865,12.44,36.702,486.0,257.0,130
D-astara,Astara,district,fixed,2024,2,29.763,31.125,13.8,30.346,1443.0,493.0,199
D-babek,Babek,district,fixed,2024,2,12.078,12.768,8.9,13.498,48.0,11.0,6
D-balakan,Balakan,district,fixed,2024,2,77.814,54.416,14.93,58.33,1141.0,488.0,288
D-barda,Barda,district,fixed,2024,2,69.641,49.317,15.92,46.616,2041.0,627.0,258
D-beylagan,Beylagan,district,fixed,2024,2,25.514,30.201,18.29,23.565,657.0,256.0,138
D-bilasuvar,Bilasuvar,district,fixed,2024,2,36.935,34.91,10.79,33.764,907.0,291.0,140
D-dashkasan,Dashkasan,district,fixed,2024,2,24.647,24.05,25.98,26.893,46.0,30.0,15
D-fuzuli,Fuzuli,district,fixed,2024,2,41.743,49.564,11.52,38.348,281.0,105.0,70
D-gadabay,Gadabay,district,fixed,2024,2,55.614,45.647,27.18,43.702,323.0,129.0,80
D-gobustan,Gobustan,district,fixed,2024,2,57.897,44.447,11.72,39.462,170.0,72.0,46
D-goranboy,Goranboy,district,fixed,2024,2,55.108,49.514,19.41,32.665,663.0,283.0,155
D-goychay,Goychay,district,fixed,2024,2,39.697,53.391,14.9,29.5,1516.0,437.0,164
D-goygol,Goygol,district,fixed,2024,2,39.191,36.336,18.61,28.466,2166.0,933.0,289
D-hajigabul,Hajigabul,district,fixed,2024,2,40.771,32.288,12.2,34.536,807.0,278.0,136
D-imishli,Imishli,district,fixed,2024,2,53.215,47.526,12.95,37.716,1328.0,490.0,199
D-ismailli,Ismailli,district,fixed,2024,2,59.399,43.832,19.5,40.549,778.0,277.0,156
D-jabrayil,Jabrayil,district,fixed,2024,2,31.91,24.66,21.0,23.11,3.0,3.0,3
D-jalilabad,Jalilabad,district,fixed,2024,2,67.2,52.615,14.97,37.928,1201.0,387.0,220
D-kalbajar,Kalbajar,district,fixed,2024,2,9.19,12.109,31.88,2.308,8.0,6.0,5
D-kangarli,Kangarli,district,fixed,2024,2,16.052,2.557,56.4,14.384,5.0,4.0,4
D-khachmaz,Khachmaz,district,fixed,2024,2,43.299,44.036,13.8,26.769,3756.0,1296.0,477
D-khizi,Khizi,district,fixed,2024,2,82.283,72.379,10.43,55.081,388.0,149.0,86
D-khojaly,Khojaly,district,fixed,2024,2,147.541,90.162,8.61,62.498,18.0,7.0,3
D-kurdamir,Kurdamir,district,fixed,2024,2,27.505,28.783,20.53,26.2,490.0,199.0,115
D-lachin,Lachin,district,fixed,2024,2,119.117,107.54,36.25,62.853,28.0,19.0,12
D-lankaran,Lankaran,district,fixed,2024,2,56.936,45.025,15.86,34.499,2054.0,830.0,361
D-lerik,Lerik,district,fixed,2024,2,4.775,1.609,55.15,3.48,75.0,53.0,39
D-masally,Masally,district,fixed,2024,2,47.631,41.391,12.03,35.768,2718.0,925.0,426
D-neftchala,Neftchala,district,fixed,2024,2,29.837,29.682,11.83,29.798,1059.0,325.0,145
D-oghuz,Oghuz,district,fixed,2024,2,97.194,75.223,13.75,77.716,445.0,168.0,102
D-qabala,Qabala,district,fixed,2024,2,70.417,45.021,14.33,42.422,1777.0,740.0,291
D-qakh,Qakh,district,fixed,2024,2,86.909,80.264,22.43,58.984,176.0,100.0,73
D-qazakh,Qazakh,district,fixed,2024,2,34.159,26.447,23.52,36.301,827.0,286.0,164
D-quba,Quba,district,fixed,2024,2,57.074,46.03,15.7,32.532,2380.0,1005.0,364
D-qubadli,Qubadli,district,fixed,2024,2,63.734,93.041,9.78,67.244,9.0,5.0,4
D-qusar,Qusar,district,fixed,2024,2,69.96,52.516,15.06,25.904,1631.0,738.0,309
D-saatly,Saatly,district,fixed,2024,2,55.841,47.487,14.25,32.998,1466.0,316.0,155
D-sabirabad,Sabirabad,district,fixed,2024,2,38.559,33.601,16.63,31.372,1112.0,434.0,262
D-salyan,Salyan,district,fixed,2024,2,31.072,29.257,13.77,32.608,1071.0,386.0,205
D-samukh,Samukh,district,fixed,2024,2,30.543,28.95,24.87,27.495,913.0,288.0,148
D-shabran,Shabran,district,fixed,2024,2,54.013,59.181,18.32,32.06,422.0,178.0,92
D-shaki,Shaki,district,fixed,2024,2,96.881,78.675,13.87,53.306,966.0,371.0,228
D-shamakhi,Shamakhi,district,fixed,2024,2,64.759,47.91,12.14,40.024,640.0,326.0,168
D-shamkir,Shamkir,district,fixed,2024,2,28.204,26.805,26.26,27.303,1617.0,635.0,339
D-sharur,Sharur,district,fixed,2024,2,13.825,15.552,6.5,14.248,117.0,25.0,7
D-siazan,Siazan,district,fixed,2024,2,85.162,61.374,10.43,49.14,430.0,129.0,64
D-tartar,Tartar,district,fixed,2024,2,33.372,33.581,21.09,30.08,548.0,188.0,109
D-tovuz,Tovuz,district,fixed,2024,2,40.89,35.752,41.86,36.032,760.0,283.0,190
D-ujar,Ujar,district,fixed,2024,2,83.825,58.226,16.3,32.053,292.0,121.0,82
D-yardymli,Yardymli,district,fixed,2024,2,21.438,24.677,15.83,34.117,361.0,74.0,51
D-yevlakh,Yevlakh,district,fixed,2024,2,53.617,44.488,10.66,34.932,398.0,175.0,112
D-zangilan,Zangilan,district,fixed,2024,2,41.892,51.56,11.21,36.274,67.0,25.0,12
D-zaqatala,Zaqatala,district,fixed,2024,2,110.19,79.252,16.37,63.964,657.0,305.0,192
D-zardab,Zardab,district,fixed,2024,2,49.915,41.64,24.57,40.616,93.0,65.0,40
C-baku,Baku,city,fixed,2024,3,66.991,62.895,5.68,61.5,225732.0,63349.0,3299
C-ganja,Ganja,city,fixed,2024,3,60.207,55.187,12.85,54.426,9415.0,2471.0,156
C-khankendi,Khankendi,city,fixed,2024,3,151.135,166.051,12.81,144.121,16.0,6.0,3
C-lankaran,Lankaran,city,fixed,2024,3,70.132,60.702,15.03,63.021,2074.0,555.0,67
C-mingachevir,Mingachevir,city,fixed,2024,3,62.524,58.012,11.07,60.434,3591.0,967.0,82
C-nakhchivan,Nakhchivan,city,fixed,2024,3,16.786,16.983,8.48,13.854,676.0,322.0,68
C-shaki,Shaki,city,fixed,2024,3,104.741,88.072,11.52,105.251,770.0,292.0,45
C-shirvan,Shirvan,city,fixed,2024,3,43.328,44.717,9.51,40.508,1503.0,361.0,37
C-sumqayit,Sumqayit,city,fixed,2024,3,62.02,57.69,5.83,57.218,16868.0,4363.0,236
C-yevlakh,Yevlakh,city,fixed,2024,3,74.196,65.281,8.84,57.907,552.0,162.0,41
D-absheron,Absheron,district,fixed,2024,3,75.727,66.218,5.89,69.466,23424.0,6279.0,513
D-agdam,Agdam,district,fixed,2024,3,55.195,60.931,35.96,41.004,673.0,225.0,140
D-agdash,Agdash,district,fixed,2024,3,50.355,53.099,12.89,47.28,2152.0,655.0,259
D-aghjabadi,Aghjabadi,district,fixed,2024,3,44.815,48.227,13.63,40.595,660.0,233.0,153
D-agstafa,Agstafa,district,fixed,2024,3,48.344,43.321,42.96,42.244,1687.0,588.0,229
D-agsu,Agsu,district,fixed,2024,3,69.96,59.461,10.25,50.31,1450.0,446.0,198
D-astara,Astara,district,fixed,2024,3,51.965,54.341,13.65,38.637,3712.0,890.0,281
D-babek,Babek,district,fixed,2024,3,11.56,12.877,11.71,9.629,137.0,65.0,43
D-balakan,Balakan,district,fixed,2024,3,82.53,65.012,10.34,74.156,1559.0,611.0,290
D-barda,Barda,district,fixed,2024,3,70.433,58.481,11.06,59.204,2663.0,761.0,302
D-beylagan,Beylagan,district,fixed,2024,3,46.664,52.587,12.96,38.76,1165.0,351.0,190
D-bilasuvar,Bilasuvar,district,fixed,2024,3,70.396,63.69,12.21,46.05,1624.0,460.0,209
D-dashkasan,Dashkasan,district,fixed,2024,3,44.212,51.611,12.72,33.88,409.0,106.0,36
