iso3,month,capable_pct,preferred_pct,samples
ARM,2026-06,9.28,9.09,1026305
ARM,2026-07,8.89,8.59,995686
ARM,2026-08,8.88,8.7,1110778
AZE,2015-01,0.0,0.0,1890
AZE,2015-02,0.0,0.0,55082
AZE,2015-03,0.01,0.01,38427
AZE,2015-04,0.0,0.0,89942
AZE,2015-05,0.0,0.0,124221
AZE,2015-06,0.01,0.0,171226
AZE,2015-07,0.03,0.02,290530
AZE,2015-08,0.02,0.02,248219
AZE,2015-09,0.0,0.0,250291
AZE,2015-10,0.0,0.0,659331
AZE,2015-11,0.0,0.0,729164
AZE,2015-12,0.0,0.0,399592
AZE,2016-01,0.0,0.0,591056
AZE,2016-02,0.0,0.0,385864
AZE,2016-03,0.0,0.0,433001
AZE,2016-04,0.0,0.0,488155
AZE,2016-05,0.0,0.0,719879
AZE,2016-06,0.0,0.0,617348
AZE,2016-07,0.0,0.0,709762
AZE,2016-08,0.0,0.0,565118
AZE,2016-09,0.0,0.0,566094
AZE,2016-10,0.01,0.01,537589
AZE,2016-11,0.0,0.0,572239
AZE,2016-12,0.0,0.0,598612
AZE,2017-01,0.01,0.01,943485
AZE,2017-02,0.01,0.01,527823
AZE,2017-03,0.01,0.01,315021
AZE,2017-04,0.0,0.0,246821
AZE,2017-05,0.0,0.0,114493
AZE,2017-06,0.0,0.0,115543
AZE,2017-07,0.0,0.0,550433
AZE,2017-08,0.0,0.0,467827
AZE,2017-09,0.0,0.0,369697
AZE,2017-10,0.0,0.0,861355
AZE,2017-11,0.0,0.0,584268
AZE,2017-12,0.0,0.0,452255
AZE,2018-01,0.01,0.01,1123642
AZE,2018-02,0.0,0.0,329365
AZE,2018-03,0.0,0.0,367670
AZE,2018-04,0.0,0.0,269000
AZE,2018-05,0.0,0.0,546767
AZE,2018-06,0.0,0.0,752638
AZE,2018-07,0.0,0.0,357034
AZE,2018-08,0.0,0.0,534995
AZE,2018-09,0.0,0.0,271758
AZE,2018-10,0.01,0.01,265273
AZE,2018-11,0.0,0.0,569063
AZE,2018-12,0.0,0.0,343521
AZE,2019-01,0.0,0.0,173468
AZE,2019-02,0.0,0.0,160063
AZE,2019-03,0.0,0.0,162490
AZE,2019-04,0.0,0.0,143732
AZE,2019-05,0.0,0.0,133529
AZE,2019-06,0.0,0.0,650153
AZE,2019-07,0.0,0.0,873997
AZE,2019-08,0.0,0.0,809276
AZE,2019-09,0.0,0.0,738870
AZE,2019-10,0.0,0.0,646303
AZE,2019-11,0.0,0.0,1055643
AZE,2019-12,0.0,0.0,850512
AZE,2020-01,0.0,0.0,737002
AZE,2020-02,0.0,0.0,916540
AZE,2020-03,0.0,0.0,651193
AZE,2020-04,0.01,0.01,575097
AZE,2020-05,0.01,0.01,392410
AZE,2020-06,0.01,0.01,585502
AZE,2020-07,0.0,0.0,640313
AZE,2020-08,0.0,0.0,766004
AZE,2020-09,0.0,0.0,688926
AZE,2020-10,0.24,0.23,519344
AZE,2020-11,0.16,0.15,632444
AZE,2020-12,0.01,0.01,995966
AZE,2021-01,0.01,0.01,763711
AZE,2021-02,0.01,0.01,933960
AZE,2021-03,0.01,0.01,994728
AZE,2021-04,0.01,0.01,680330
AZE,2021-05,0.01,0.01,481183
AZE,2021-06,0.02,0.02,384353
AZE,2021-07,0.02,0.02,343554
AZE,2021-08,0.01,0.01,465380
AZE,2021-09,0.02,0.02,758987
AZE,2021-10,0.02,0.02,1322984
AZE,2021-11,0.02,0.02,1278774
AZE,2021-12,0.02,0.01,1405775
AZE,2022-01,0.01,0.01,2185898
AZE,2022-02,0.01,0.01,695882
AZE,2022-03,0.05,0.04,505423
AZE,2022-04,0.04,0.04,450525
AZE,2022-05,0.07,0.07,373612
AZE,2022-06,0.07,0.07,333044
AZE,2022-07,0.04,0.04,473448
AZE,2022-08,0.04,0.04,1150024
AZE,2022-09,0.23,0.23,1154119
AZE,2022-10,0.66,0.65,662699
AZE,2022-11,0.27,0.27,678090
AZE,2022-12,0.06,0.05,772384
AZE,2023-01,0.06,0.05,570841
AZE,2023-02,0.06,0.06,782165
AZE,2023-03,0.05,0.05,1084399
AZE,2023-04,0.03,0.03,1200999
AZE,2023-05,0.04,0.03,1076657
AZE,2023-06,0.04,0.04,1052615
AZE,2023-07,0.03,0.03,950531
AZE,2023-08,0.03,0.03,906798
AZE,2023-09,0.28,0.27,756493
AZE,2023-10,1.57,1.54,1012149
AZE,2023-11,0.32,0.31,1155375
AZE,2023-12,0.16,0.16,907682
AZE,2024-01,0.13,0.13,882060
AZE,2024-02,0.2,0.19,897235
AZE,2024-03,0.2,0.19,1063611
AZE,2024-04,0.11,0.11,1420069
AZE,2024-05,0.1,0.1,1680324
AZE,2024-06,0.06,0.06,1342358
AZE,2024-07,0.12,0.12,1162206
AZE,2024-08,0.13,0.12,1580531
AZE,2024-09,0.16,0.16,1003124
AZE,2024-10,0.16,0.16,1528511
AZE,2024-11,0.15,0.14,1743570
AZE,2024-12,0.11,0.11,1598242
AZE,2025-01,0.07,0.07,1761319
AZE,2025-02,0.06,0.05,1951413
AZE,2025-03,0.07,0.07,2218394
AZE,2025-04,0.1,0.09,1728219
AZE,2025-05,0.16,0.15,1429890
AZE,2025-06,0.12,0.12,1368086
AZE,2025-07,0.15,0.14,2003999
AZE,2025-08,0.1,0.09,2195818
AZE,2025-09,0.05,0.04,2120927
AZE,2025-10,0.06,0.06,2367196
AZE,2025-11,0.06,0.06,3057479
AZE,2025-12,0.08,0.08,3151813
AZE,2026-01,0.08,0.07,3977725
AZE,2026-02,0.14,0.14,3176937
AZE,2026-03,0.04,0.03,2425266
AZE,2026-04,0.06,0.05,2587966
AZE,2026-05,0.06,0.05,2208454
AZE,2026-06,0.15,0.14,1765121
AZE,2026-07,0.14,0.13,1951412
AZE,2026-08,0.2,0.19,1973152
BLR,2015-01,0.0,0.0,674
BLR,2015-02,0.0,0.0,101053
BLR,2015-03,0.01,0.01,71854
BLR,2015-04,0.0,0.0,134785
BLR,2015-05,0.01,0.01,137738
BLR,2015-06,0.09,0.01,194995
BLR,2015-07,0.12,0.01,318464
BLR,2015-08,0.15,0.03,241397
BLR,2015-09,0.01,0.0,227708
BLR,2015-10,0.0,0.0,693391
BLR,2015-11,0.01,0.0,549858
BLR,2015-12,0.0,0.0,305740
BLR,2016-01,0.0,0.0,824517
BLR,2016-02,0.01,0.0,784108
BLR,2016-03,0.0,0.0,840012
BLR,2016-04,0.02,0.01,928461
BLR,2016-05,0.0,0.0,871557
BLR,2016-06,0.01,0.01,582155
BLR,2016-07,0.0,0.0,450410
BLR,2016-08,0.0,0.0,621940
BLR,2016-09,0.01,0.01,585293
BLR,2016-10,0.01,0.01,988875
BLR,2016-11,0.01,0.0,1435243
BLR,2016-12,0.02,0.02,1470831
BLR,2017-01,0.02,0.01,3449008
BLR,2017-02,0.01,0.01,1419622
BLR,2017-03,0.01,0.01,894570
BLR,2017-04,0.01,0.01,277252
BLR,2017-05,0.0,0.0,131191
BLR,2017-06,0.01,0.01,102486
BLR,2017-07,0.01,0.01,446878
BLR,2017-08,0.0,0.0,278445
BLR,2017-09,0.0,0.0,276242
BLR,2017-10,0.02,0.02,1690611
BLR,2017-11,0.01,0.01,1203025
BLR,2017-12,0.01,0.01,806986
BLR,2018-01,0.02,0.02,1121206
BLR,2018-02,0.03,0.03,295410
BLR,2018-03,0.02,0.02,339644
BLR,2018-04,0.02,0.02,193723
BLR,2018-05,0.03,0.03,618768
BLR,2018-06,0.03,0.03,571939
BLR,2018-07,0.1,0.1,144197
BLR,2018-08,0.08,0.07,193165
BLR,2018-09,0.1,0.09,183025
BLR,2018-10,0.07,0.07,474479
BLR,2018-11,0.06,0.05,599364
BLR,2018-12,0.04,0.04,273972
BLR,2019-01,0.06,0.05,222714
BLR,2019-02,0.03,0.03,253362
